name,set,condition,seller 1 price,seller 2 price,updated_price
Fastbond,Revised Edition,Heavily Played,5.1,5.41,5.4
Fork,Revised Edition,Heavily Played,7.29,8.4,8.39
Wrath of God,Fourth Edition,Heavily Played,4.13,5.14,5.13
Lord of Atlantis,Classic Sixth Edition,Heavily Played,5.33,5.62,5.61
Flying Carpet,Arabian Nights,Heavily Played,6.72,6.72,6.71
Island Fish Jasconius,Arabian Nights,Heavily Played,9.45,9.45,9.44
Island of Wak-Wak,Arabian Nights,Heavily Played,74.79,75.0,74.78
Moorish Cavalry,Arabian Nights,Heavily Played,1.35,1.54,1.34
Sindbad,Arabian Nights,Heavily Played,11.99,12.99,12.98
Stone-Throwing Devils,Arabian Nights,Heavily Played,5.2,5.23,5.220000000000001
Colossus of Sardia,Antiquities,Heavily Played,7.73,7.92,7.91
Coral Helm,Antiquities,Heavily Played,3.0,3.89,3.8800000000000003
Drafna's Restoration,Antiquities,Heavily Played,0.29,0.35,0.33999999999999997
Millstone,Antiquities,Heavily Played,2.48,2.48,2.47
Obelisk of Undoing,Antiquities,Heavily Played,3.3,3.99,3.9800000000000004
Tawnos's Coffin,Antiquities,Heavily Played,51.0,69.5,69.49
Ashnod's Altar,Chronicles,Heavily Played,4.29,4.49,4.48
Eater of the Dead,The Dark,Heavily Played,6.45,6.78,6.7700000000000005
Arcades Sabboth,Legends,Heavily Played,8.36,8.36,15.24
Cataclysm,Exodus,Heavily Played,4.6,4.47,4.59
Mind Over Matter,Exodus,Heavily Played,14.98,15.31,14.97
Altar of Bone,Ice Age,Heavily Played,2.97,3.24,3.2300000000000004
Teferi's Isle,Mirage,Heavily Played,1.16,1.49,1.48
Intruder Alarm,Stronghold,Heavily Played,14.9,14.99,14.89
Reanimate,Tempest,Heavily Played,8.8,8.96,8.950000000000001
Gemstone Mine,Weatherlight,Heavily Played,10.85,11.18,11.17
Attrition,Urza's Destiny,Heavily Played,4.03,5.0,4.99
Pattern of Rebirth,Urza's Destiny,Heavily Played,1.62,1.67,1.61
Thran Dynamo,Urza's Destiny,Heavily Played,3.98,6.0,5.99
High Market,Mercadian Masques,Heavily Played,3.0,3.74,3.7300000000000004
Rishadan Port,Mercadian Masques,Heavily Played,18.82,18.82,18.81
Goblin Lackey,Urza's Saga,Heavily Played,6.56,7.16,7.15
